File Name,Total Number Of Sentences,Average Sentence Length,Average Word Length,Number of Uncommon Words,Number of Unique Words,Words with 1 to 3 syllables,Words with 4 syllables,Words with 5 syllables,Words with 6 syllables,Words with more than 7 syllables,Average number of syllables,'',CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,Class
Bulgaria.txt,1765,11.91954674,6.522340527,21038,5946,3820,626,159,14,1327,2.066165985,0,3,11,3,0,11,43,1284,17,27,8,1813,7,0,914,0,2,0,311,5,0,4,0,0,0,124,470,324,199,239,121,2,1,1,2,2
WCinI.txt,5586,10.41908342,5.990017354,58201,7204,4774,616,123,17,1674,1.838353293,0,4,16,4,1,6,50,1349,27,38,7,2029,4,0,1061,0,3,0,442,14,1,5,0,0,0,205,692,584,309,240,108,2,1,1,1,2
Cinderella.txt,146,12.84246575,5.946666667,1875,929,521,51,4,0,353,1.818133333,0,2,6,3,0,0,18,160,3,6,6,233,0,0,98,0,1,0,81,5,0,2,0,0,0,35,122,46,48,37,15,1,0,1,0,1
Monograph Cirripedia.txt,6014,11.44861989,6.361514553,68852,5091,3155,642,207,25,1062,2.099299948,0,2,9,2,0,26,53,1026,18,29,9,1766,17,0,566,0,1,0,350,10,0,0,0,1,0,95,332,270,168,216,120,1,1,1,2,3
Countess from Canada.txt,4296,10.68761639,5.628784249,45914,6643,4379,466,70,12,1716,1.678551204,0,4,9,3,0,1,45,1352,35,47,7,1950,17,0,732,0,3,2,449,12,0,6,0,0,1,205,574,622,312,149,99,2,3,1,1,2
TheCountofMonteCristo.txt,15146,14.65759937,5.988756959,222004,15579,10438,1801,373,50,2917,1.84482712,0,7,13,6,1,77,99,3120,61,87,8,4816,11,0,2393,0,4,0,862,20,4,6,0,0,0,348,1156,1126,532,498,317,3,0,1,3,3
Jude The Obscure.txt,9296,7.137263339,5.826852354,66348,10488,6852,1106,289,43,2198,1.768689335,0,2,14,3,0,13,83,2249,31,46,9,3142,4,0,1371,0,3,0,764,8,1,8,0,0,1,226,794,828,456,282,138,4,5,1,2,3
JaneEyre.txt,9765,9.049052739,5.844812367,88364,12407,8161,1219,297,32,2698,1.759415599,0,2,14,4,1,26,100,2593,50,61,7,3930,23,0,1517,0,6,3,739,15,1,3,0,0,1,323,1006,912,543,318,202,1,2,1,3,3
Nature and Human Nature.txt,8082,9.334818114,5.469659615,75444,12395,8041,971,217,25,3141,1.638314511,0,6,16,6,0,82,85,2518,53,75,10,3955,19,1,1963,0,9,0,584,13,1,4,0,0,1,263,769,629,441,557,322,5,5,1,2,3
GSA.txt,2193,9.714090287,5.855466366,21303,5618,3574,489,94,14,1447,1.774397972,0,0,11,4,0,9,51,1195,17,25,8,1814,4,0,658,0,4,1,357,11,0,7,0,0,0,173,435,355,217,173,84,1,2,1,1,2
THE TRAVELLING MUSICIANS.txt,31,19.25806452,5.090452261,597,367,174,4,0,0,189,1.492462312,0,0,3,1,0,0,5,67,4,3,5,118,1,0,26,0,1,0,21,2,1,1,0,0,0,11,43,27,20,6,1,0,0,0,0,1
Narrative Voyage Senegal.txt,2314,15.59809853,6.114340334,36094,6550,4233,657,127,14,1519,1.922591012,0,3,15,3,0,17,52,1309,25,41,9,1970,14,0,1002,0,1,0,342,11,0,3,0,0,0,155,536,387,261,259,132,1,0,1,1,3
THE WOLF AND THE SEVEN LITTLE KIDS.txt,38,12.97368421,5.073022312,493,249,111,3,0,0,135,1.45030426,0,0,3,2,0,0,9,57,1,3,2,64,0,0,17,0,1,0,19,0,0,0,0,0,0,6,35,4,13,6,6,1,0,0,0,1
HansInLuck.txt,72,14.66666667,4.912878788,1056,516,212,3,0,0,301,1.381628788,0,0,4,3,0,0,6,93,3,2,7,156,0,0,44,0,1,0,46,2,0,1,0,0,0,23,49,30,22,16,6,0,0,1,1,1
